DENOMINAZIONE,COMUNE,PROVINCIA,TELEFONO,EMAIL,AREA,SERVIZI,ATTIVITA,TIPOLOGIE PERSONE SVANTAGGIATE,WGS84_Y,WGS84_X,location
ZEROGRAFICA SOCIETA' COOPERATIVA SOCIALE,Milano,MI,3387621099,,,,Tipografia e stampa,Detenuti,45.5253903,9.0936669,"(45.5253903, 9.0936669)"
STELLA MARIS - SOCIETA' COOPERATIVA SOCIALE ONLUS,Mantova,MN,0376151018,info@coopstellamaris.it,"Anziani, Disabili/Handicappati, Famiglia, Psichiatria","Altro, Assistenza Domiciliare integrata Anziani, Assistenza Domiciliare integrata Disabili, Assistenza domiciliare pazienti psichiatrici",,,45.1518998,10.7822165,"(45.1518998, 10.7822165)"
L'AQUILONE SOCIETA' COOPERATIVA SOCIALE,Sesto Calende,VA,03311830570,laquilonescs@laquilonescs.it,"Disabili/Handicappati, Disagio Giovanile, Educativa, Famiglia, Minori, Prevenzione del disagio, Stranieri","Animazione culturale  e territoriale, Assistenza Pre e Post Scolastica, Assistenza domiciliare minori, Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori, Centro di Aggregazione Giovanile, Educatori di Strada, Formazione - Consulenza - Progettazione, Informagiovani - Spazio giovani, Progettazione servizi sperimentali",,,45.7249613,8.6322301,"(45.7249613, 8.6322301)"
IL BUON PASTORE SOCIETA' COOPERATIVA SOCIALE - ONLUS,Milano,MI,3391607328,vincenzotufano@live.it,Altro,Altro,,,45.4252103,9.1750972,"(45.4252103, 9.1750972)"
PROGETTO E LAVORO - SOCIETA' COOPERATIVA SOCIALE,Brescia,BS,0302524763,,,,"Altro, Progettazione e istallazione impianti fotovoltaici",,45.53455319,10.21952553,"(45.53455319, 10.21952553)"
SOLEUR - SOLIDARIETA' IN EUROPA - SOCIETA' COOPERATIVA SOCIALE,Rodengo-Saiano,BS,0309958192,soleur@soleur.org,,,,,45.57410666,10.11215533,"(45.57410666, 10.11215533)"
ARGENTUM SERVIZI COOPERATIVA SOCIALE,Milano,MI,0161234800,,"Alcooldipendenza, Anziani, Disabili/Handicappati, Disagio Giovanile, Educativa, Emarginazione Sociale, Famiglia, Minori, Prevenzione del disagio, Psichiatria","Altro, Residenza Sanitaria assistenziale per anziani",,,45.46570687,9.17180329,"(45.46570687, 9.17180329)"
CASA DEI BAMBINI - SCUOLA MONTESSORI COOPERATIVA SOCIALE ONLUS,Milano,MI,0276023536,,Educativa,"Istituti scolastici primo e secondo grado, Scuole Materne",,,45.45577978,9.13947105,"(45.45577978, 9.13947105)"
FRATERNITA' IMPRONTA - IMPRESA SOCIALE - SOCIETA' COOPERATIVA SOCIALE ONLUS,Ospitaletto,BS,0306841753,impronta@fraternita.it,"Educativa, Famiglia, Minori",Altro,,,45.54878711,10.08812386,"(45.54878711, 10.08812386)"
SIRIO CENTRO SERVIZI PER LE FAMIGLIE SOCIETA' COOPERATIVA SOCIALEONLUS O IN FORMA ABBREVIATA SIRIO C.S.F. SOCIETA' COOPERATIVA ONLUS,Treviglio,BG,0363301773,info@centrosirio.it,"Altro, Famiglia, Minori","Altro, Asilo Nido, Comunità educative",,,45.531851,9.5900565,"(45.531851, 9.5900565)"
PRIMI PASSI SOCIETA' COOPERATIVA SOCIALE A R.L.,Busto Arsizio,VA,0331341981,,"Educativa, Minori",Asilo Nido,,,45.59926538,8.84677256,"(45.59926538, 8.84677256)"
COOPERATIVA SOCIALE COMUNITA' BETANIA O.N.L.U.S.,Vigevano,PV,0381 312469,segreteria@coopbetania.it,"Altro, Anziani, Detenuti, Disabili/Handicappati, Disagio Giovanile, Educativa, Emarginazione Sociale, Famiglia, Minori, Psichiatria, Stranieri, Tossicodipendenza","Altro, Animazione culturale  e territoriale, Assistenza Domiciliare integrata Anziani, Assistenza Domiciliare integrata Disabili, Assistenza domiciliare minori, Assistenza scolastica ""ad personam"", Centro Ricreativo diurno minori, Centro di Ascolto - Segretariato, Comunità Accoglienza residenziale, Comunità Protetta Psichiatrica, Comunità Terapeutica Tossicodipendenti, Comunità di prima accoglienza, Comunità educative, Formazione del personale, Progetti educativi in carcere e/o comunità",,,45.31410937,8.84897037,"(45.31410937, 8.84897037)"
GENERA SOCIETA' COOPERATIVA SOCIALE - O.N.L.U.S.,Milano,MI,0248951280,xeiaamm@tiscali.it,"Anziani, Disabili/Handicappati, Famiglia, Minori","Asilo Nido, Centri di prima infanzia, Centro Diurno integrato per anziani",,,45.45262555,9.14892645,"(45.45262555, 9.14892645)"
CASA DI RIPOSO COMINI COOPERATIVA SOCIALE - ONLUS,Collebeato,BS,030251113,cominirsa@gmail.com,Anziani,Residenza Sanitaria assistenziale per anziani,,,45.58534175,10.2168737191955,"(45.58534175, 10.2168737191955)"
COOPERATIVA SOCIALE IL DELFINO A R.L. - IN LIQUIDAZIONE,Delebio,SO,0342684174,ildelfino-so@libero.it,"Anziani, Disabili/Handicappati, Educativa, Minori","Altro, Animazione culturale  e territoriale, Assistenza Domiciliare integrata Anziani, Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori, Residenza Sanitaria assistenziale per anziani",,,46.13748943,9.46277328,"(46.13748943, 9.46277328)"
CASCINA CASELLE SOCIETA' COOPERATIVA SOCIALE,Carobbio degli Angeli,BG,3289859436,cascina.caselle@libero.it,"Disabili/Handicappati, Educativa, Famiglia",Alloggi protetti,,,45.67182029,9.83754418,"(45.67182029, 9.83754418)"
COOPERATIVA SOCIALE LA CURA ONLUS,Treviglio,BG,0363305409,progetti@coesi.coop,"Anziani, Disabili/Handicappati","Altro, Assistenza Domiciliare infermieristica",,,45.52171475,9.58776875,"(45.52171475, 9.58776875)"
L'IMPRONTA - SOCIETA' COOPERATIVA SOCIALE,Livigno,SO,0342070085,cooperativa.impronta@tiscali.it,"Anziani, Disabili/Handicappati, Disagio Giovanile, Educativa, Emarginazione Sociale, Famiglia, Minori, Prevenzione del disagio, Stranieri","Altro, Animazione, Assistenza domiciliare minori, Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori, Centri di prima infanzia, Centro Diurno per disabili, Centro di Aggregazione Giovanile, Progettazione servizi, Progettazione servizi sperimentali",,,46.52987028,10.12708565,"(46.52987028, 10.12708565)"
UGR COOPERATIVA SOCIALE A R.L.,Rozzano,MI,0257500583,,,,"Affissione manifesti, Manutenzione verde, Pulizia ambienti, Servizi cimiteriali, Sorveglianza e portierato","Detenuti, Disabili",45.39699533,9.15578124,"(45.39699533, 9.15578124)"
PROSEGUIRE SOCIETA' COOPERATIVA SOCIALE,Cinisello Balsamo,MI,3452429500,,"Disagio Giovanile, Educativa, Emarginazione Sociale, Famiglia, Minori, Prevenzione del disagio","Animazione, Assistenza Pre e Post Scolastica, Assistenza scolastica ""ad personam"", Ludoteca - baby parking",,,45.55406165,9.21879401,"(45.55406165, 9.21879401)"
NUOVI ORIZZONTI SOCIETA' COOPERATIVA SOCIALE,Milano,MI,0248193967,nuoviorizzonti.scarl@tiscali.it,"Altro, Anziani, Disabili/Handicappati, Educativa, Emarginazione Sociale, Famiglia, Minori","Assistenza Domiciliare infermieristica, Assistenza Domiciliare integrata Anziani, Assistenza Domiciliare integrata Disabili, Attività Extra scolastiche a minori, Centro socio educativo",,,45.48656115,9.21431677,"(45.48656115, 9.21431677)"
COOPERATIVA SOCIALE AGRITECNICA MONTE NETTO - SOCIETA' AGRICOLA O.N.L.U.S.,Gargnano,BS,0302640479,coopmontenetto@libero.it,,,Manutenzione verde,"Detenuti, Disabili, Tossicodipendenti, Alcooldipendenti",45.6824348,10.6557275,"(45.6824348, 10.6557275)"
"ANFIBIA, COOPERATIVA SOCIALE",Nerviano,MI,3331875803,info@anfibiacoop.it,"Altro, Educativa, Famiglia","Altro, Animazione culturale  e territoriale, Attività Extra scolastiche a minori",,,45.55271255,8.97116486350156,"(45.55271255, 8.97116486350156)"
L'ANCORA SOCIETA' COOPERATIVA SOCIALE,Lurate Caccivio,CO,031491020,info@lancora.co.it,Disabili/Handicappati,Centro socio educativo,,,45.77524265,8.99607217,"(45.77524265, 8.99607217)"
ABAD - SERVIZI E LAVORO SOC. COOP. SOCIALE A R.L. - ONLUS,Galliate Lombardo,VA,0332-948473,amministrazione@abadcoop.it,,,"Altro, Apertura e chiusura parchi, Assemblaggio elett., Confezionamenti vari, Manutenzione verde, Pulizia ambienti, Raccolta differenz., Spazzamento e pulizia strade","Disabili, Pazienti psichiatrici, Tossicodipendenti, Alcooldipendenti",45.78265615,8.77325673,"(45.78265615, 8.77325673)"
BULLI & PUPE - SOCIETA' COOPERATIVA SOCIALE,Varese,VA,0332236568,luisa.chiamenti@tele2.it,Educativa,Scuola materna,,,45.82387235,8.81465174,"(45.82387235, 8.81465174)"
L'ISOLA CHE C'E' SOCIETA' COOPERATIVA SOCIALE,Gorla Maggiore,VA,0331619168,lisolachece.nido@gmail.com,"Educativa, Emarginazione Sociale, Famiglia, Minori","Animazione, Asilo Nido, Assistenza Pre e Post Scolastica, Casa Vacanza, Centro socio educativo, Comunità Alloggio per adulti",,,45.66075589,8.89308377,"(45.66075589, 8.89308377)"
OLINDA SOCIETA' COOPERATIVA ONLUS,Medole,MN,0376780550,cooperativa@olinda.it,"Anziani, Disabili/Handicappati, Disagio Giovanile, Educativa, Minori, Stranieri","Animazione, Asilo Nido, Assistenza Domiciliare integrata Anziani, Assistenza Pre e Post Scolastica, Assistenza domiciliare minori, Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori, Centro Ricreativo diurno minori, Centro di Ascolto - Segretariato, Formazione - Consulenza - Progettazione, Ludoteca - baby parking, Scuola materna, Trasporto persone in situazione di bisogno",,,45.32626634,10.51191893,"(45.32626634, 10.51191893)"
LE VELE SOCIETA' COOPERATIVA SOCIALE - ONLUS,Trezzo sull'Adda,MI,029091393,segreteria@levelemilano.it,Psichiatria,Comunità Protetta Psichiatrica,,,45.6095313,9.5150539,"(45.6095313, 9.5150539)"
AZZURRA COOPERATIVA SOCIALE,Milano,MI,0236597012,info@cooperativazzurra.com,"Anziani, Disabili/Handicappati, Disagio Giovanile, Educativa, Emarginazione Sociale, Minori, Prevenzione del disagio, Psichiatria","Asilo Nido, Assistenza Pre e Post Scolastica, Assistenza scolastica ""ad personam"", Attività Extra scolastiche a minori, Casa Vacanza, Centro Ricreativo diurno minori, Comunità Alloggio per malati psichici, Comunità socio sanitaria per disabili, Hospice (per malati terminali), Istituto di riabilitazione per disabili, Mediazione culturale e/o linguistica",,,45.49748122,9.13480796,"(45.49748122, 9.13480796)"
CONSORZIO SOCIALE LIGHT SOC. COOP. A R.L.,Milano,MI,0226113187,segreteria@consorziosocialelight.it,,,,,45.48748126,9.20263604,"(45.48748126, 9.20263604)"
HOME NURSING LA RUGIADA ASSISTENZA INFERMIERISTICA DOMICILIARE SOCIETA' COOPERATIVA SOCIALE,Milano,MI,0290870015,mnagant@libero.it,Anziani,Assistenza Domiciliare integrata Anziani,,,45.43719129,9.19604852,"(45.43719129, 9.19604852)"
FAMIGLIA MARCHENESE - SOCIETA' COOPERATIVA SOCIALE - ONLUS,Marcheno,BS,030861281,coopmarcheneze@libero.it,"Educativa, Minori","Assistenza scolastica ""ad personam"", Scuola materna",,,45.7081342,10.21559424,"(45.7081342, 10.21559424)"
SOLIDARIETA' ATTIVA SOCIETA' COOPERATIVA SOCIALE O.N.L.U.S. IN LIQUIDAZIONE,Gardone Val Trompia,BS,0306591725,flavia.carrara@ndropolis.it,,,"Consegna pasti, Facchinaggio e traslochi",,45.67934938,10.18739976,"(45.67934938, 10.18739976)"
COMO MEDICARE SOCIETA' COOPERATIVA SOCIALE,Appiano Gentile,CO,031931629,,Altro,Altro,,,45.7364404,8.97326356,"(45.7364404, 8.97326356)"
L'ARCA COOPERATIVA SOCIALE ONLUS SRL,Tradate,VA,0331386942,f.toscan@unimer.it,Disabili/Handicappati,"Centro Diurno per disabili, Centro socio educativo",,,45.70406882,8.91178227,"(45.70406882, 8.91178227)"
P.G.R. COOPERATIVA SOCIALE - ONLUS,Cinisello Balsamo,MI,0261837904,s.ronzi@pologeriatrico.it,Anziani,"Istituto di Riabilitazione Geriatrico, Residenza Sanitaria assistenziale per anziani",,,45.55780008,9.23826645,"(45.55780008, 9.23826645)"
COOPERATIVA SOCIALE AGRI-COOP ALTO GARDA VERDE SOCIETA' AGRICOLA ONLUS - CON SIGLA- COOPERATIVA SOCIALE AGRI-COOP - S.A. ONLUS,Gargnano,BS,036571710,agricoop@tin.it,,,"Manutenzione verde, Orto-floro-vivaismo","Detenuti, Disabili, Tossicodipendenti, Alcooldipendenti",45.6824348,10.6557275,"(45.6824348, 10.6557275)"
